,lr,n_est,max_depth,m,score,case,standardize
0,0.1,30.0,5.0,50.0,0.9196611464842779,case1,0.0
1,0.1,30.0,5.0,50.0,0.9201048881250177,case1,1.0
2,0.1,40.0,5.0,50.0,0.9309639661902217,case1,0.0
3,0.1,40.0,5.0,50.0,0.9305411261060079,case1,1.0
4,0.1,50.0,5.0,50.0,0.932533857028079,case1,0.0
5,0.1,50.0,5.0,50.0,0.9327932816349959,case1,1.0
6,0.1,60.0,5.0,50.0,0.9330541613452377,case1,0.0
7,0.1,60.0,5.0,50.0,0.9328986701004605,case1,1.0
8,0.1,70.0,5.0,50.0,0.9383480773874953,case1,0.0
9,0.1,70.0,5.0,50.0,0.9386818023834671,case1,1.0
10,0.3,30.0,5.0,50.0,0.9364071630692544,case1,0.0
11,0.3,30.0,5.0,50.0,0.9371885968951224,case1,1.0
12,0.3,40.0,5.0,50.0,0.9370708213367523,case1,0.0
13,0.3,40.0,5.0,50.0,0.9369738291445888,case1,1.0
14,0.3,50.0,5.0,50.0,0.9401698914591485,case1,0.0
15,0.3,50.0,5.0,50.0,0.9393331484140639,case1,1.0
16,0.3,60.0,5.0,50.0,0.9434698685788868,case1,0.0
17,0.3,60.0,5.0,50.0,0.944209576612758,case1,1.0
18,0.3,70.0,5.0,50.0,0.9404545170458288,case1,0.0
19,0.3,70.0,5.0,50.0,0.9415311156765039,case1,1.0
20,0.5,30.0,5.0,50.0,0.9376334361408004,case1,0.0
21,0.5,30.0,5.0,50.0,0.9357250560476595,case1,1.0
22,0.5,40.0,5.0,50.0,0.939778434425753,case1,0.0
23,0.5,40.0,5.0,50.0,0.9381236136440784,case1,1.0
24,0.5,50.0,5.0,50.0,0.9363614593958257,case1,0.0
25,0.5,50.0,5.0,50.0,0.9374954170455492,case1,1.0
26,0.5,60.0,5.0,50.0,0.9436966574251089,case1,0.0
27,0.5,60.0,5.0,50.0,0.9438456561412046,case1,1.0
28,0.5,70.0,5.0,50.0,0.940038490023254,case1,0.0
29,0.5,70.0,5.0,50.0,0.9404766977109714,case1,1.0
30,0.1,30.0,6.0,50.0,0.9252888332586631,case1,0.0
31,0.1,30.0,6.0,50.0,0.924042165397798,case1,1.0
32,0.1,40.0,6.0,50.0,0.932592493266711,case1,0.0
33,0.1,40.0,6.0,50.0,0.9326705016054664,case1,1.0
34,0.1,50.0,6.0,50.0,0.9431235496831297,case1,0.0
35,0.1,50.0,6.0,50.0,0.9422241998087324,case1,1.0
36,0.1,60.0,6.0,50.0,0.9342291089974818,case1,0.0
37,0.1,60.0,6.0,50.0,0.9343613462731086,case1,1.0
38,0.1,70.0,6.0,50.0,0.9409445135076989,case1,0.0
39,0.1,70.0,6.0,50.0,0.9399303916386662,case1,1.0
40,0.3,30.0,6.0,50.0,0.9348235995112459,case1,0.0
