,lr,n_est,max_depth,m,score,case,standardize
0,0.05,10.0,3.0,5.0,0.5824032950857992,case1,0.0
1,0.05,10.0,3.0,5.0,0.5824032950857992,case1,1.0
2,0.05,20.0,3.0,5.0,0.5867826689125728,case1,0.0
3,0.05,20.0,3.0,5.0,0.586395072013348,case1,1.0
4,0.05,30.0,3.0,5.0,0.6121503463260684,case1,0.0
5,0.05,30.0,3.0,5.0,0.611881199119163,case1,1.0
6,0.05,40.0,3.0,5.0,0.6108027659285632,case1,0.0
7,0.05,40.0,3.0,5.0,0.6110951635893819,case1,1.0
8,0.05,50.0,3.0,5.0,0.605151674597225,case1,0.0
9,0.05,50.0,3.0,5.0,0.6051577220089328,case1,1.0
10,0.05,60.0,3.0,5.0,0.6165310412544446,case1,0.0
11,0.05,60.0,3.0,5.0,0.6169265868560373,case1,1.0
12,0.05,70.0,3.0,5.0,0.6078659037951687,case1,0.0
13,0.05,70.0,3.0,5.0,0.6077903169082611,case1,1.0
14,0.15,10.0,3.0,5.0,0.5997413717719625,case1,0.0
15,0.15,10.0,3.0,5.0,0.5991335026296107,case1,1.0
16,0.15,20.0,3.0,5.0,0.6013084198952391,case1,0.0
17,0.15,20.0,3.0,5.0,0.6016503138992174,case1,1.0
18,0.15,30.0,3.0,5.0,0.6170728698746755,case1,0.0
19,0.15,30.0,3.0,5.0,0.6154462970767977,case1,1.0
20,0.15,40.0,3.0,5.0,0.5990561280644147,case1,0.0
21,0.15,40.0,3.0,5.0,0.5971760334473056,case1,1.0
22,0.15,50.0,3.0,5.0,0.6129709625512679,case1,0.0
23,0.15,50.0,3.0,5.0,0.612128366289864,case1,1.0
24,0.15,60.0,3.0,5.0,0.613744867751997,case1,0.0
25,0.15,60.0,3.0,5.0,0.6163829257223088,case1,1.0
26,0.15,70.0,3.0,5.0,0.6254552565916924,case1,0.0
27,0.15,70.0,3.0,5.0,0.6312249388853749,case1,1.0
28,0.3,10.0,3.0,5.0,0.5799115712825637,case1,0.0
29,0.3,10.0,3.0,5.0,0.5795702399179764,case1,1.0
30,0.3,20.0,3.0,5.0,0.5947151359794759,case1,0.0
31,0.3,20.0,3.0,5.0,0.5988421204298675,case1,1.0
32,0.3,30.0,3.0,5.0,0.6163284802699115,case1,0.0
33,0.3,30.0,3.0,5.0,0.6191482274635328,case1,1.0
34,0.3,40.0,3.0,5.0,0.6183358809304232,case1,0.0
35,0.3,40.0,3.0,5.0,0.6183284295030318,case1,1.0
36,0.3,50.0,3.0,5.0,0.6139484960740361,case1,0.0
37,0.3,50.0,3.0,5.0,0.6132937544073785,case1,1.0
38,0.3,60.0,3.0,5.0,0.6123855879671055,case1,0.0
39,0.3,60.0,3.0,5.0,0.6186552026354828,case1,1.0
40,0.3,70.0,3.0,5.0,0.6279617266582539,case1,0.0
41,0.3,70.0,3.0,5.0,0.6310253688445844,case1,1.0
42,0.5,10.0,3.0,5.0,0.6102172861738027,case1,0.0
43,0.5,10.0,3.0,5.0,0.6061842228365765,case1,1.0
44,0.5,20.0,3.0,5.0,0.6086516543693977,case1,0.0
45,0.5,20.0,3.0,5.0,0.6155201740946865,case1,1.0
46,0.5,30.0,3.0,5.0,0.6190925573902336,case1,0.0
47,0.5,30.0,3.0,5.0,0.6145776276390686,case1,1.0
48,0.5,40.0,3.0,5.0,0.6144489141613113,case1,0.0
49,0.5,40.0,3.0,5.0,0.6130116337690746,case1,1.0
50,0.5,50.0,3.0,5.0,0.6119217693410728,case1,0.0
