,model_name,variance_k,normality_k,boruta_flag,vif_k,score,chosen_columns
0,model1_rf,0.0,0.0,1.0,5.0,0.569650742673625, 10  48  64 204 318
1,model2_rf,0.0,0.0,1.0,5.0,0.5736250501806504, 10  48  64 204 318
2,model3_rf,0.0,0.0,1.0,5.0,0.5969891609795264, 10  48  64 204 318
3,model1_xg,0.0,0.0,1.0,5.0,0.5873143315937375, 10  48  64 204 318
4,model2_xg,0.0,0.0,1.0,5.0,0.6189080690485749, 10  48  64 204 318
5,model3_xg,0.0,0.0,1.0,5.0,0.6087113608992372, 10  48  64 204 318
6,model4_xg,0.0,0.0,1.0,5.0,0.5862705740666398, 10  48  64 204 318
7,model5_xg,0.0,0.0,1.0,5.0,0.5872340425531914, 10  48  64 204 318
8,model1_lr,0.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
9,model2_lr,0.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
10,model3_lr,0.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
11,model1_svc,0.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
12,model2_svc,0.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
13,model3_svc,0.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
14,model1_ensemble_rfxglr,0.0,0.0,1.0,5.0,0.5882376555600161, 10  48  64 204 318
15,model2_ensemble_rflrsvc,0.0,0.0,1.0,5.0,0.5802087515054195, 10  48  64 204 318
16,model3_ensemble_xglrsvc,0.0,0.0,1.0,5.0,0.5910477719791248, 10  48  64 204 318
17,model4_ensemble_rfxgsvc,0.0,0.0,1.0,5.0,0.5931754315535929, 10  48  64 204 318
18,model1_rf,0.0,5.0,1.0,5.0,0.5967884383781614, 10  64 204 453 481
19,model2_rf,0.0,5.0,1.0,5.0,0.5939783219590526, 10  64 204 453 481
20,model3_rf,0.0,5.0,1.0,5.0,0.6031714171015656, 10  64 204 453 481
21,model1_xg,0.0,5.0,1.0,5.0,0.581212364512244, 10  64 204 453 481
22,model2_xg,0.0,5.0,1.0,5.0,0.5821356884785227, 10  64 204 453 481
23,model3_xg,0.0,5.0,1.0,5.0,0.5648735447611402, 10  64 204 453 481
24,model4_xg,0.0,5.0,1.0,5.0,0.5857486953030911, 10  64 204 453 481
25,model5_xg,0.0,5.0,1.0,5.0,0.5501806503412284, 10  64 204 453 481
26,model1_lr,0.0,5.0,1.0,5.0,0.5407868325973504, 10  64 204 453 481
27,model2_lr,0.0,5.0,1.0,5.0,0.5426736250501807, 10  64 204 453 481
28,model3_lr,0.0,5.0,1.0,5.0,0.5426736250501807, 10  64 204 453 481
29,model1_svc,0.0,5.0,1.0,5.0,0.5429144921718185, 10  64 204 453 481
30,model2_svc,0.0,5.0,1.0,5.0,0.5429144921718185, 10  64 204 453 481
31,model3_svc,0.0,5.0,1.0,5.0,0.5429144921718185, 10  64 204 453 481
